city,country,R,temp,rh
Aberdeen,Scotland,1.74987778919,12.3826086957,99.1293850645
Adelaide,Australia,1.82596457329,14.6272727273,85.1180938097
Amsterdam,Netherlands,1.7494382996,18.1909090909,85.871611617
Ankara,Turkey,1.98179910173,18.4090909091,58.2899966194
Asuncion,Paraguay,1.87682007925,19.9142857143,67.0763477401
Athens,Greece,1.90684312296,25.575,50.6063376506
Auckland,New Zealand,1.91570310224,12.5125,79.5047957762
Barcelona,Spain,1.78763881975,20.9888888889,75.0081147662
Belem,Brazil,1.62137031073,26.925,80.7848705443
Belfast,Northern Ireland,1.83406041089,16.6956521739,79.4350894367
Belgrade,Serbia,1.86991164963,24.15,58.1759149617
Berlin,Germany,1.82381686036,21.652173913,69.2717250006
Birmingham,England,1.85217800929,17.2608695652,76.0283560675
Bogota,Colombia,1.95160237181,14.8904761905,69.8718958369
Bordeaux,France,1.89654693398,17.7909090909,69.6426332513
Bremen,Germany,1.68548925874,18.3043478261,93.0649490677
Brisbane,Australia,1.7982366717,18.5318181818,79.4030049942
Bristol,England,1.83913820856,15.4782608696,81.6327718821
Brussels,Belgium,1.92566659197,19.1954545455,63.0303929679
Bucharest,Romania,1.71065505178,21.9863636364,81.6949929057
Budapest,Hungary,1.72906690234,20.8090909091,82.2466632155
Buenos Aires,Argentina,2.09264895468,11.2590909091,61.7537666723
Cairo,Egypt,1.95418312775,26.6136363636,42.7089488747
Cape Town,South Africa,1.9847785322,15.2375,65.2100486943
Caracas,Venezuela,1.60602680146,27.3181818182,81.6722312351
Cayenne,French Guiana,1.56999158416,26.25,88.3197454357
Chihuahua,Mexico,2.04887587745,31.7,20.0177299013
Copenhagen,Denmark,2.00096677591,17.9869565217,57.0232702651
Cordoba,Argentina,1.73873105463,20.0,82.9742360569
Dakar,Senegal,1.61429711236,27.1904761905,81.0009470552
Darwin,Australia,1.77634912002,28.5380952381,59.0258656877
Djibouti,Djibouti,1.70638018328,37.0,47.7913539295
Dublin,Ireland,1.81808857789,14.9818181818,85.2236452975
Durban,South Africa,2.05809825623,15.7375,55.5189386674
Edinburgh,Scotland,1.76705472324,14.2909090909,92.7547790245
Frankfurt,Germany,1.82555796021,18.9565217391,75.2455503959
Georgetown,Guyana,1.55883162333,28.7,84.0065707073
Glasgow,Scotland,1.8202573805,16.3913043478,81.741209327
Guatemala City,Guatemala,1.74891700298,19.5714285714,82.7690805714
Guayaquil,Ecuador,1.7016363951,25.2636363636,75.2366566427
Hamburg,Germany,1.77594977142,17.5217391304,84.3150159998
Hammerfest,Norway,2.04977984972,12.3227272727,64.3129757685
Havana,Cuba,1.57656265998,25.2636363636,89.8140150484
Helsinki,Finland,2.09338329423,18.6,44.8474016046
Hobart,Tasmania,1.92527577833,3.27727272727,99.5504708454
Iquique,Chile,1.89803973085,17.2818181818,70.6351659317
Irkutsk,Russia,2.00506454808,23.0727272727,44.8922650044
Jakarta,Indonesia,1.58949561532,29.775,77.9694504294
Johannesburg,South Africa,2.38451487086,4.33333333333,43.6062699077
Kingston,Jamaica,1.62102353039,29.2818181818,75.4249328847
Kinshasa,Congo,1.67276427493,29.4,69.1237441809
La Paz,Bolivia,2.10610284987,6.22272727273,71.7259128146
Leeds,England,1.75670321851,12.0,99.2105805931
Lima,Peru,1.81031545525,17.8090909091,79.6512607785
Lisbon,Portugal,1.90168199445,19.525,65.0706882923
Liverpool,England,1.81868984882,17.1304347826,80.2302801114
London,England,1.90197793009,18.4086956522,67.5940691599
Lyons,France,1.90179051167,18.65,67.0629939777
Madrid,Spain,2.11784219357,19.1111111111,40.825566665
Manchester,England,1.8793814401,17.5652173913,72.1604179472
Manila,Philippines,1.60843764951,28.625,78.3968357212
Marseilles,France,1.90982930888,21.5,59.5956516459
Mazatlan,Mexico,1.71578784428,28.25,66.7444237434
Melbourne,Australia,1.93542899781,15.2227272727,70.9955925419
Mexico City,Mexico,2.10250170629,19.0,42.8680994999
Milan,Italy,1.77321320754,21.3954545455,75.7578270508
Montevideo,Uruguay,2.09550465667,8.13333333333,68.5832179481
Moscow,Russia,2.00841328889,11.7,70.5611551415
Munich,Germany,1.74653743803,14.3913043478,94.9160277965
Nairobi,Kenya,1.79747789069,17.1272727273,82.7097817587
Naples,Italy,1.85501630164,22.0590909091,64.7030269332
Newcastle-on-Tyne,England,1.77538678704,13.1739130435,94.3431331618
Odessa,Ukraine,1.68216369691,20.6909090909,87.9840361732
Oslo,Norway,2.10286886571,20.7090909091,38.9091383474
Panama City,Panama,1.54794817496,26.8636363636,89.4828361464
Paramaribo,Suriname,1.61906259108,28.3,77.9031945129
Paris,France,1.89421761982,17.9,69.6641468743
Perth,Australia,1.90573597541,15.2733333333,74.3403602868
Plymouth,England,1.81482846972,13.9590909091,87.9470632873
Port Moresby,Papua New Guinea,1.59591481161,27.5375,82.3482445676
Prague,Czech Republic,1.71702823842,19.3214285714,87.0585636206
Reykjavik,Iceland,1.95070482272,9.28636363636,82.8176303246
Rio de Janeiro,Brazil,1.69081356431,21.5625,84.9787512458
Rome,Italy,1.85731934939,22.8461538462,62.6311498827
Salvador,Brazil,1.65620512686,25.6538461538,79.6375591793
Santiago,Chile,1.96049854881,9.6375,80.8715852207
St. Petersburg,Russia,2.06599128721,19.1545454545,46.7692714626
Sao Paulo,Brazil,1.7863578192,17.0909090909,84.089150125
Sofia,Bulgaria,1.82845028087,20.65,71.0280558427
Stockholm,Sweden,2.11645140768,19.1590909091,40.8777231989
Sydney,Australia,1.98582225799,12.8571428571,70.5426938742
Tananarive,Madagascar,1.92428353595,18.0,65.9308233159
Tripoli,Libya,1.98717037675,21.75,50.0086973487
Venice,Italy,1.71722774632,17.6,90.9797498456
Veracruz,Mexico,1.6754910763,27.0,74.3052358624
Vienna,Austria,1.79832591325,18.8045454545,78.7676833468
Vladivostok,Russia,1.69651245284,14.7875,99.8386127229
Warsaw,Poland,1.90742432074,17.7863636364,68.385287898
Wellington,New Zealand,1.83862580885,13.3181818182,86.6420438931
Zurich,Switzerland,1.81729089999,13.2545454545,89.2744447991
Zagreb,Croatia,1.90030254835,23.09,57.062709983
Vilnius,Lithuania,1.82251100063,12.7666666667,89.7839548608
New York,U.S.A,1.92647010809,16.9777777778,68.01827282
Ottawa,Canada,2.06510058301,15.1619047619,56.0217213719
Los Angeles,U.S.A,1.84648025822,20.1875,69.9864209539
Austin,U.S.A,1.70255761009,25.775,73.9575629265
Vancouver,Canada,1.86136648524,13.3380952381,83.9459862917
Chisinau,Moldova,1.6223155656,20.4125,95.5972825638
Yerevan,Armenia,2.12725560037,26.4545454545,22.901868997
St. Domingo,Dominican Rep.,1.59763764078,22.8,93.00283907
Chicago,U.S.A,1.92927003542,15.3782608696,71.3570344858
