aera,2020/3/28,2020/3/29,2020/3/30,2020/3/31,2020/4/1,2020/4/2,2020/4/3,2020/4/4,2020/4/5,2020/4/6,2020/4/7,2020/4/8,2020/4/9,2020/4/10
Korea,9355,9376,9395,9412,9427,9440,9451,9462,9471,9479,9486,9492,9498,9503
Japan,1473,1600,1797,2116,2620,3352,4312,5441,6663,7913,9146,10339,11478,12558
Iran,31214,32777,34184,35499,36762,37997,39215,40420,41610,42778,43916,45015,46067,47065
Itay,86375,91792,96754,101221,105185,108661,111682,114287,116521,118428,120051,121430,122600,123593
America,98420,110171,120331,128781,135599,140971,145128,148299,150691,152480,153808,154789,155510,156039
German,50212,56112,61674,66845,71557,75753,79407,82523,85131,87278,89020,90416,91525,92399
Switzerland,13152,14380,15483,16455,17297,18017,18624,19130,19548,19891,20170,20395,20576,20721
Sweden,3146,3486,3860,4270,4717,5202,5725,6288,6889,7530,8207,8920,9666,10440
Spain,64642,71159,77117,82374,86871,90614,93658,96087,97996,99479,100622,101498,102168,102681
U.K.,13859,16121,18553,21098,23691,26260,28735,31055,33173,35058,36695,38088,39250,40203
Netherland,8577,9789,11096,12480,13922,15394,16868,18315,19707,21020,22233,23335,24319,25183
Belgium,7005,7820,8673,9555,10458,11372,12289,13200,14099,14978,15831,16655,17446,18201
Greece,985,1071,1151,1222,1293,1366,1441,1522,1610,1705,1811,1927,2055,2197
Norway,3692,4025,4368,4724,5094,5480,5881,6299,6734,7185,7651,8131,8625,9129
Austria,7809,8714,9553,10341,11130,11898,12734,13620,14555,15532,16540,17566,18592,19601
Austrialia,3364,3876,4388,4952,5556,6229,6984,7829,8769,9800,10913,12092,13319,14569
Denmark,2160,2305,2456,2615,2781,2954,3133,3318,3510,3707,3909,4117,4328,4544
Canada,4915,5908,7017,8230,9524,10877,12263,13657,15038,16387,17690,18939,20127,21251
Luxembourg,1692,1880,2068,2232,2396,2572,2772,2995,3238,3501,3779,4068,4361,4651
Russia,1034,1273,1563,1913,2331,2823,3395,4050,4787,5603,6487,7426,8404,9401
